uid,namedLocation,plotID,collectDate,identifiedDate,sampleID,subsampleID,scientificName,acceptedTaxonID,taxonRank,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,identificationQualifier,identificationReferences,identificationProtocolVersion,scientificNameAuthorship,sexOrAge,individualCount,sampleCondition,archiveMedium,archiveFacilityID,deprecatedVialID,identifiedBy,laboratoryName,remarks
177b3679-e205-4321-8e1c-a5bba7cd9af4,SCBI_006.tickPlot.tck,SCBI_006,2016-09-12T18:07Z,2017-05-11T16:00Z,SCBI_006.20160912,SCBI_006.20160912.IXOSP.L,Ixodidae sp.,IXOSP,family,Ixodidae,,,,,,sp.,,,,GSU_tickIdentification_SOP_2016-11-01.pdf,,Larva,1,OK,RNA stabilization buffer,USNMENT00984604,SCBI_006.20160912.01.L,Guy Hobbs,Georgia Southern University,
edd0b5ff-cf1d-4dfa-89e9-39485cdf6a8b,SCBI_005.tickPlot.tck,SCBI_005,2016-09-12T19:09Z,2017-05-11T16:00Z,SCBI_005.20160912,SCBI_005.20160912.IXOSP.L,Ixodidae sp.,IXOSP,family,Ixodidae,,,,,,sp.,,,,GSU_tickIdentification_SOP_2016-11-01.pdf,,Larva,1,OK,RNA stabilization buffer,USNMENT00984603,SCBI_005.20160912.01.L,Guy Hobbs,Georgia Southern University,
4d071bc5-7e73-42a8-a4c5-73e422ac30b3,SCBI_039.tickPlot.tck,SCBI_039,2016-09-12T20:12Z,2017-05-11T16:00Z,SCBI_039.20160912,SCBI_039.20160912.IXOSP.L,Ixodidae sp.,IXOSP,family,Ixodidae,,,,,,sp.,,,,GSU_tickIdentification_SOP_2016-11-01.pdf,,Larva,1,OK,RNA stabilization buffer,USNMENT00984606,SCBI_039.20160912.01.L,Guy Hobbs,Georgia Southern University,
3b9882e8-6424-4f37-8c90-b51d16f87a0a,KONZ_025.tickPlot.tck,KONZ_025,2015-09-02T14:57Z,2016-06-27T16:00Z,KONZ_025.20150902,KONZ_025.20150902.AMBAME.L,Amblyomma americanum,AMBAME,species,Ixodidae,,,,Amblyomma,,americanum,,,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.",GSU_tickIdentification_SOP_2016-11-01.pdf,Linnaeus,Larva,1,OK,90% ethanol,127076,,L. Beati,Georgia Southern University,
6383749f-c685-427c-bee7-ae31fa26a8c1,KONZ_025.tickPlot.tck,KONZ_025,2015-09-02T14:57Z,2016-06-27T12:00Z,KONZ_025.20150902,KONZ_025.20150902.AMBAME.N,Amblyomma americanum,AMBAME,species,Ixodidae,,,,Amblyomma,,americanum,,,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.",GSU_tickIdentification_SOP_2016-11-01.pdf,Linnaeus,Nymph,3,OK,95% ethanol,127076,,L. Beati,Georgia Southern University,
528c1e88-551c-474c-bfa7-1da85ec76477,KONZ_025.tickPlot.tck,KONZ_025,2015-09-23T14:56Z,2016-06-27T16:00Z,KONZ_025.20150923,KONZ_025.20150923.AMBAME.L,Amblyomma americanum,AMBAME,species,Ixodidae,,,,Amblyomma,,americanum,,,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.",GSU_tickIdentification_SOP_2016-11-01.pdf,Linnaeus,Larva,1,OK,90% ethanol,127081,,L. Beati,Georgia Southern University,
9879699e-434c-4e51-ba99-18986b91ef1b,KONZ_025.tickPlot.tck,KONZ_025,2015-09-23T14:56Z,2016-06-27T12:00Z,KONZ_025.20150923,KONZ_025.20150923.AMBAME.N,Amblyomma americanum,AMBAME,species,Ixodidae,,,,Amblyomma,,americanum,,,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.",GSU_tickIdentification_SOP_2016-11-01.pdf,Linnaeus,Nymph,2,OK,95% ethanol,127081,,L. Beati,Georgia Southern University,
7d40cb3a-ffd1-42d1-a1e2-9688bf4ab402,SERC_001.tickPlot.tck,SERC_001,2017-09-05T14:51Z,2018-01-27T17:00Z,SERC_001.20170905,SERC_001.20170905.AMBAME.N,Amblyomma americanum,AMBAME,species,Ixodidae,,,,Amblyomma,,americanum,,,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.",GSU_tickIdentification_SOP_2016-11-01.pdf,Linnaeus,Nymph,1,OK,90% ethanol,USNMENT01358747,SERC_001.20170905.AMBAME.N,Lorenza Beati,Georgia Southern University,
5495170e-3c23-4941-bdbc-e431306ff698,SERC_001.tickPlot.tck,SERC_001,2017-09-05T14:51Z,2018-01-27T17:00Z,SERC_001.20170905,SERC_001.20170905.IXOSCA.N,Ixodes scapularis,IXOSCA,species,Ixodidae,,,,Ixodes,,scapularis,,,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.",GSU_tickIdentification_SOP_2016-11-01.pdf,Say,Nymph,1,OK,90% ethanol,USNMENT01358745,SERC_001.20170905.IXOSCA.N,Lorenza Beati,Georgia Southern University,
28ffb7b2-f18e-4e2f-8d61-92e202ec17c0,SERC_001.tickPlot.tck,SERC_001,2017-09-05T14:51Z,2017-09-30T16:00Z,SERC_001.20170905,SERC_001.20170905.IXOSP.L,Ixodidae sp.,IXOSP,family,Ixodidae,,,,,,sp.,,,,GSU_tickIdentification_SOP_2016-11-01.pdf,,Larva,1,OK,90% ethanol,USNMENT01358746,SERC_001.20170905.L,Guy Hobbs,Georgia Southern University,
d41383cb-72fd-4f4d-be8a-8bac2fbdce00,SERC_012.tickPlot.tck,SERC_012,2017-09-05T17:24Z,2017-09-30T16:00Z,SERC_012.20170905,SERC_012.20170905.IXOSP.L,Ixodidae sp.,IXOSP,family,Ixodidae,,,,,,sp.,,,,GSU_tickIdentification_SOP_2016-11-01.pdf,,Larva,1,OK,90% ethanol,USNMENT01358742,SERC_012.20170905.L,Guy Hobbs,Georgia Southern University,
d70f5865-f820-4024-b2bf-8e6115586f4a,SERC_012.tickPlot.tck,SERC_012,2017-09-05T17:24Z,2018-01-27T17:00Z,SERC_012.20170905,SERC_012.20170905.AMBAME.N,Amblyomma americanum,AMBAME,species,Ixodidae,,,,Amblyomma,,americanum,,,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.",GSU_tickIdentification_SOP_2016-11-01.pdf,Linnaeus,Nymph,3,OK,90% ethanol,USNMENT01358744,SERC_012.20170905.AMBAME.N,Lorenza Beati,Georgia Southern University,
fa6cb2d4-6476-4d2a-95d9-3001c9d98197,SERC_012.tickPlot.tck,SERC_012,2017-09-05T17:24Z,2018-01-27T17:00Z,SERC_012.20170905,SERC_012.20170905.IXOSCA.N,Ixodes scapularis,IXOSCA,species,Ixodidae,,,,Ixodes,,scapularis,,,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.",GSU_tickIdentification_SOP_2016-11-01.pdf,Say,Nymph,2,OK,90% ethanol,USNMENT01358743,SERC_012.20170905.IXOSCA.N,Lorenza Beati,Georgia Southern University,
acecaf02-309f-4816-9469-b630ffd4c9fc,SERC_002.tickPlot.tck,SERC_002,2017-09-05T18:52Z,2017-09-30T16:00Z,SERC_002.20170905,SERC_002.20170905.IXOSP.L,Ixodidae sp.,IXOSP,family,Ixodidae,,,,,,sp.,,,,GSU_tickIdentification_SOP_2016-11-01.pdf,,Larva,1,OK,90% ethanol,USNMENT01358739,SERC_002.20170905.L,Guy Hobbs,Georgia Southern University,
194bb912-0205-4664-8300-91b10c8140d3,SERC_002.tickPlot.tck,SERC_002,2017-09-05T18:52Z,2018-01-27T17:00Z,SERC_002.20170905,SERC_002.20170905.AMBAME.N,Amblyomma americanum,AMBAME,species,Ixodidae,,,,Amblyomma,,americanum,,,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.",GSU_tickIdentification_SOP_2016-11-01.pdf,Linnaeus,Nymph,5,OK,90% ethanol,USNMENT01358740,SERC_002.20170905.AMBAME.N,Lorenza Beati,Georgia Southern University,
